Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,8,0,0,31,59,1,45,56,37,0,2,1,177,15,51,22.7
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,5,1,0,43,24,0,2,103,46,0,1,0,224,67,45,59.8
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,12,3,2,45,35,0,10,51,34,0,0,0,240,24,24,50
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,9,0,0,46,68,1,26,84,73,0,0,0,291,14,14,50
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,100
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,3,0,0,18,12,15,2,8,7,0,0,0,39,22,40,35.5
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,2,1,0,1,1,0,0,0,0,7,0,2,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,9,0,0,43,50,17,24,15,22,1,1,0,126,82,99,45.3
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,2,0,0,5,5,0,0,11,6,0,0,1,25,12,15,44.4
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2,1,0,20,19,4,1,48,12,1,0,0,302,80,45,64
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,0,0,0,6,8,6,6,0,2,0,0,0,15,20,11,64.5
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,10,0,0,41,54,0,124,31,39,0,1,0,223,33,37,47.1
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,0,0,0,31,47,7,11,10,9,0,0,0,120,56,111,33.5
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,5,0,0,20,18,0,3,23,16,0,0,0,159,23,12,65.7
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,0,0,0,6,9,4,6,3,8,0,0,0,26,5,13,27.8
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,1,0,0,16,2,0,2,14,12,0,0,0,40,2,8,20
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,3,0,0,27,32,8,26,17,25,0,0,0,92,19,35,35.2
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,5,0,0,27,33,4,39,54,34,0,0,0,161,24,20,54.5
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,1,0,0,14,4,0,2,5,8,0,0,0,33,6,8,42.9
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,5,1,1,15,26,4,8,5,4,0,0,0,46,9,18,33.3
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18,4,0,0,30,27,1,39,24,23,0,1,0,151,34,39,46.6
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,6,0,0,35,19,0,4,56,42,0,1,0,206,31,31,50
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,2,1,0,39,26,0,13,18,27,0,0,0,99,16,20,44.4
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,3,1,0,18,16,1,2,54,12,1,2,0,232,108,46,70.1
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,0,0,0,1,2,1,4,0,1,0,0,0,3,4,2,66.7
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,4,0,0,32,30,1,52,59,51,0,0,1,236,39,40,49.4
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
30,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,0,0,0,2,1,0,0,0,0,0,0,0,3,1,3,25
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,6,0,0,21,11,0,7,34,22,0,0,0,156,25,10,71.4
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,2,0,0,23,19,0,4,23,10,0,0,0,117,14,8,63.6
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1,0,0,11,19,1,2,55,41,0,0,1,281,77,51,60.2
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16,4,0,0,20,31,1,30,33,15,0,0,0,126,18,23,43.9
35,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,20,2001,20.3,4,0,0,20,23,3,56,38,43,1,0,0,135,20,19,51.3
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,5,0,0,18,19,0,12,49,22,0,0,0,186,63,38,62.4
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,5,1,0,40,37,14,18,15,25,2,0,1,114,154,120,56.2
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,3,0,0,23,26,1,2,47,36,0,0,1,240,64,39,62.1
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,4,0,0,26,28,2,32,65,34,0,1,0,200,43,36,54.4
40,Marley Aké,fr FRA,MFFW,Juventus,it Serie A,20,2001,0.9,1,0,0,8,2,0,1,2,0,0,0,0,4,1,0,100
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,0,0,0,8,5,0,0,18,5,0,0,0,78,41,8,83.7
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,0,0,0,4,5,0,5,0,0,0,0,0,10,0,2,0
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,1,0,0,3,1,1,0,0,1,0,0,0,4,1,2,33.3
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,2,1,0,14,3,0,0,12,12,0,0,0,55,9,1,90
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,1,0,0,14,10,0,0,3,9,0,1,0,24,7,7,50
46,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26,1995,17,5,0,0,30,24,4,29,35,20,0,1,0,144,23,22,51.1
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,2,0,0,18,13,2,32,41,18,0,0,0,189,23,23,50
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,1,0,0,5,8,0,1,6,6,0,0,0,16,1,1,50
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,5,0,0,26,10,1,23,27,15,0,2,0,161,22,22,50
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,2,0,0,8,11,7,3,3,4,1,0,0,25,20,35,36.4
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,11,0,0,28,25,11,104,48,25,0,0,0,271,18,30,37.5
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,5,0,0,17,28,1,50,22,18,0,0,0,186,11,15,42.3
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,8,0,0,20,13,2,0,37,15,0,0,0,244,53,28,65.4
55,Marc Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,3,0,0,8,15,2,31,25,16,0,0,0,77,6,11,35.3
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,1,0,0,7,7,8,2,4,3,0,0,0,28,15,25,37.5
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17,2,0,0,25,26,0,2,35,40,0,0,0,217,37,16,69.8
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,7,0,0,36,40,1,12,15,30,0,1,0,148,29,22,56.9
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,15,0,0,49,7,0,2,70,45,0,2,0,284,95,41,69.9
60,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,7,0,0,38,39,5,77,16,20,0,1,0,89,14,14,50
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,1,0,0,0,0,0,0,0,0,0,0,0,62,0,0,
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,6,1,0,57,43,1,22,19,22,0,0,0,159,14,30,31.8
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,2,0,0,16,9,11,127,76,24,0,0,0,319,18,22,45
64,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,50
65,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,6,2,2,31,47,11,29,13,7,0,0,0,83,15,71,17.4
66,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,0,0,0,0,5,0,0,0,0,0,0,1,224,0,0,
67,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,7,1,0,39,28,0,6,42,61,1,0,0,272,12,13,48
68,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,1,0,0,18,39,2,31,10,15,0,1,0,87,17,24,41.5
69,Dele Alli,eng ENG,MF,Everton,eng Premier League,25,1996,3.8,3,0,0,11,7,2,4,10,10,0,0,0,39,8,11,42.1
70,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,25,1996,7.3,1,0,0,13,15,2,3,17,7,1,0,0,46,11,13,45.8
71,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,2,0,0,20,27,9,22,25,33,0,0,0,122,5,18,21.7
72,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,8,0,0,33,34,3,64,66,28,0,1,0,216,59,26,69.4
73,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,5,0,0,41,16,1,15,44,28,0,1,0,211,45,38,54.2
74,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,6,0,0,25,16,1,2,54,19,0,0,0,253,70,46,60.3
76,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,2,1,0,30,12,0,37,23,19,0,1,0,111,8,9,47.1
77,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,0,0,0,6,8,0,2,14,8,0,0,0,61,7,12,36.8
78,Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9,4,0,0,13,4,0,0,20,10,0,0,0,62,10,13,43.5
